	Rank_Global	Rank_Team	Team	Team_Name	Rating	Average_Rank	Average_Rating	1 Year Change Rank	1 Year Change Rating	Total	Home	Away	Neutral	Wins	Losses	Draws	Goals_For	Goals_Against
0	1	1	BR	Brazil	2169	4	1999	0	20	1026	364	331	331	654	161	211	2230	912
1	2	2	AR	Argentina	2143	5	1984	+1	26	1061	368	405	288	573	225	263	2001	1107
2	3	3	ES	Spain	2048	7	1941	+2	19	737	324	290	123	431	135	171	1478	662
3	4	4	NL	Netherlands	2040	15	1844	+8	54	853	405	345	103	438	230	185	1774	1090
4	5	5	BE	Belgium	2007	23	1751	−1	71	834	401	358	75	369	294	171	1515	1323
5	6	6	PT	Portugal	2006	19	1789	+2	41	651	304	246	101	317	182	152	1112	742
6	7	7	FR	France	2005	16	1784	−5	41	890	455	330	105	441	262	187	1589	1239
7	8	9	DK	Denmark	1971	20	1798	+1	61	864	393	383	88	401	288	175	1590	1177
8	9	10	DE	Germany	1963	8	1910	−1	24	1003	444	403	156	581	213	209	2259	1179
9	10	11	UY	Uruguay	1936	12	1878	+6	44	971	321	413	237	428	309	234	1544	1202
10	11	12	HR	Croatia	1927	13	1876	+2	28	356	143	153	60	187	75	94	618	361
11	12	13	EN	England	1920	4	1979	−7	17	1110	491	506	113	646	209	255	2589	1090
12	13	15	CH	Switzerland	1902	27	1684	−4	57	851	408	376	67	301	364	186	1257	1428
13	14	16	RS	Serbia	1898	20	1785	+2	47	822	288	405	129	388	252	182	1568	1125
14	15	18	EC	Ecuador	1833	65	1510	−2	121	558	174	195	189	166	247	145	676	877
15	16	21	PL	Poland	1814	29	1711	+8	62	878	376	394	108	381	281	216	1499	1184
16	17	22	MX	Mexico	1809	20	1778	−3	49	967	287	262	418	501	245	221	1734	998
17	18	23	US	"United States	USA"	1798	41	1639	−9	91	765	437	247	81	338	267	160	1139	1006
18	19	24	IR	Iran	1797	40	1654	−4	77	631	214	179	238	355	127	149	1183	490
19	20	25	WA	Wales	1790	22	1667	−5	84	698	327	343	28	223	322	153	866	1131
20	21	26	JP	Japan	1787	62	1453	+5	115	784	311	190	283	374	248	162	1378	942
21	22	27	KR	South Korea	1786	35	1687	0	83	1004	333	240	431	550	210	244	1823	913
22	23	29	CA	Canada	1776	47	1599	−1	91	437	136	188	113	169	169	99	558	560
23	24	30	MA	Morocco	1766	44	1653	+11	87	670	289	210	171	321	158	191	990	587
24	25	35	CR	Costa Rica	1743	35	1693	+24	74	738	246	266	226	337	224	177	1279	838
25	26	38	AU	Australia	1719	34	1671	−5	74	589	249	214	126	302	163	124	1206	657
26	27	40	TN	Tunisia	1707	52	1603	+12	86	709	312	233	164	299	215	195	1008	780
27	28	44	SN	Senegal	1687	56	1588	−2	106	640	203	237	200	280	179	181	857	617
28	29	46	QA	Qatar	1680	94	1411	+7	161	629	287	137	205	263	205	161	900	727
29	30	55	SA	Saudi Arabia	1635	76	1496	−11	128	754	299	135	320	364	215	175	1187	804
30	31	60	CM	Cameroon	1610	52	1605	+1	81	616	174	236	206	269	161	186	892	673
31	32	67	GH	Ghana	1567	43	1656	−5	100	720	229	276	215	350	192	178	1157	739
